PolicyId,LineOfBusiness,PolicyTermStartDate,PolicyTermEndDate,CoverageDetails,MonthlyPaymentAmount,Premium,RenewalDate,PaymentPlan,DueDate,PolicyStatus,CustomerId
7418765520,auto,2024-04-23,2024-09-07 04:05:39.895176,Call happen rest skill.,80.29,2793.17,2025-03-03,monthly,2024-06-05,active,PSWRRCAMWN
8841218029,fire,2024-05-18,2024-09-03 09:14:13.854454,Benefit former public.,220.26,1352.71,2025-03-21,monthly,2024-06-02,active,PSWRRCAMWN
8084703574,auto,2024-03-07,2024-08-31 21:48:37.029759,Subject become bad example writer another.,176.56,1999.22,2025-01-13,monthly,2024-06-08,active,QJHHNO79U8
2450475493,fire,2024-02-17,2024-09-06 14:50:10.325581,Loss I long song situation huge.,150.58,3457.33,2025-03-19,annual,2024-06-07,active,QJHHNO79U8
694689852,auto,2024-03-24,2024-08-20 16:32:10.606434,Defense night social into get name term.,239.73,2634.81,2025-03-04,annual,2024-06-07,active,33RGPPWKIH
9223732788,fire,2024-01-12,2024-08-10 17:41:43.098101,Family positive allow Republican education nation.,282.8,3552.34,2025-01-27,annual,2024-06-05,active,33RGPPWKIH
2157564226,auto,2024-03-07,2024-08-10 23:41:40.594190,Pick only home reality million power foot.,96.9,2370.45,2025-01-18,quarterly,2024-06-07,active,LA100REPLV
3220659939,fire,2024-02-10,2024-09-05 19:31:28.923260,Meet fact by kitchen up.,228.4,1928.15,2025-04-03,monthly,2024-06-05,active,LA100REPLV
8385122932,auto,2024-03-13,2024-08-14 16:40:23.799592,Pull worry side think.,283.0,1927.41,2025-05-19,quarterly,2024-06-02,active,6NAUSMGCCI
2927805314,fire,2024-02-18,2024-08-24 11:56:46.051882,Place spring industry hundred contain third.,248.59,2680.55,2025-02-27,annual,2024-06-05,active,6NAUSMGCCI
7089393135,auto,2024-05-18,2024-09-07 22:58:30.389306,Size road respond season involve night.,252.29,2749.96,2025-06-08,monthly,2024-06-01,active,W1XV2P83LT
1608391495,fire,2024-05-14,2024-08-29 03:19:37.391511,Above season let serve.,176.35,3377.32,2025-01-09,quarterly,2024-06-08,active,W1XV2P83LT
6353031162,auto,2024-01-03,2024-08-25 09:15:46.934404,President forward her around everybody TV population answer.,186.7,1344.1,2025-02-05,quarterly,2024-06-04,active,MKTUL15VCK
9438989916,fire,2024-03-10,2024-08-15 04:24:38.563948,Might all save question.,278.83,705.98,2025-05-03,quarterly,2024-06-03,active,MKTUL15VCK
2681744430,auto,2024-02-14,2024-09-05 06:06:24.789085,Practice write know both score dream picture.,276.83,3360.48,2025-05-24,monthly,2024-06-03,active,EQSU16ZS6C
5016617905,fire,2024-03-22,2024-09-03 04:39:28.226107,Western position dark field physical.,124.74,1068.62,2025-03-25,annual,2024-06-06,active,EQSU16ZS6C
7308374036,auto,2024-04-29,2024-08-11 20:25:04.595588,Economy system attention pull he water nor.,247.78,955.74,2025-03-19,monthly,2024-06-05,active,RH8ZRDO5U9
